R,V,E
160,551432213900,32339595.04296875
161,568865383510,17522153.907592773
162,586753554910,18789150.7578125
163,605085964960,17148063.71484375
164,623893445232,35098856.513305664
165,643120601402,8812739.474121094
166,662865702004,28020292.477539062
167,683060167174,15499577.935546875
168,703778210854,36717713.76574707
169,724957205214,20194664.36364746
170,746671346744,31168701.575439453
171,768876237944,16177463.671264648
172,791645986424,40156424.317871094
173,814905229626,18462983.552246094
174,838742856876,30597888.75341797
175,863108570988,16766207.616088867
176,888077732988,42721421.12365723
177,913565901830,14304508.520507812
178,939684361920,32970840.2857666
179,966366547210,22213641.10534668
180,993688328770,47850930.845703125
181,1021576794620,26804725.526000977
182,1050115521030,32371706.291748047
183,1079263827640,13477708.387084961
184,1109111017872,48917502.12792969
185,1139548174362,19149593.87548828
186,1170701594124,39730759.00830078
187,1202493887174,22414034.89477539
188,1235017212294,48383853.86816406
189,1268183107214,18085594.197509766
190,1302111321824,40058161.061035156
191,1336732467786,33582967.51953125
192,1372114747546,55412315.48925781
193,1408187836068,23650498.714111328
194,1445070104838,44977175.73876953
195,1482667180560,13205434.8828125
196,1521120717880,58053887.212402344
197,1560292830970,29577619.513183594
198,1600310234010,42308045.263427734
199,1641123309940,34321025.607910156
200,1682804783532,65909310.3293457
201,1725257546942,27407458.821777344
202,1768620055672,44587171.064453125
203,1812812446922,24775008.593017578
204,1857949100234,69412407.4741211
205,1903895308724,30726279.27734375
206,1950814575654,59024952.048583984
207,1998586102574,20185681.282714844
208,2047380122286,70986982.89575195
209,2097038010536,39219694.20019531
210,2147695353106,46753434.87524414
211,2199309786148,37376309.94091797
212,2251948802708,64600802.73144531
213,2305519772430,21682847.866210938
214,2360191471040,63150684.22607422
215,2415827156570,37880447.923828125
216,2472578346090,82872273.2758789
217,2530294752052,33186005.778320312
218,2589157909942,55568223.07910156
219,2649069310832,36584155.94970703
220,2710152837032,85052709.25732422
221,2772265179682,42463422.94042969
222,2835573603052,60740140.98046875
223,2899989869422,36165260.37451172
224,2965657446742,96586760.10791016
225,3032369646062,19555000.127929688
226,3100415395784,78096342.31591797
227,3169579376354,40847211.462402344
228,3240056296794,86329996.23583984
229,3311701926436,53984152.15966797
230,3384652605326,63675974.584472656
231,3458841199008,31652751.65673828
232,3534419729568,93173177.29833984
233,3611209529978,52661064.174316406
234,3689395062338,77522954.66894531
235,3768874454580,48684193.85595703
236,3849809007940,110095770.47363281
237,3931976429430,21966157.896972656
238,4015676889392,66818237.11035156
239,4100742670122,59137289.681152344
240,4187312241914,119446410.73242188
241,4275214778444,58821261.91455078
242,4364671122604,79855274.37939453
243,4455549851564,32724079.75390625
244,4548072422156,120330263.11230469
245,4641960985716,46117573.94824219
246,4737512251118,87933329.14746094
247,4834547641808,48184815.96484375
248,4933268680608,109223464.98925781
249,5033475375370,51729873.125
250,5135405216810,93711006.56152344
251,5238917525980,74847041.74316406
252,5344152134900,115171366.34667969
253,5450969743502,55426892.25097656
254,5559596671552,101817346.51367188
255,5669836184154,37332144.337890625
256,5781976207154,129461162.05371094
257,5895720925484,61792450.08203125
258,6011344567646,87796085.9140625
259,6128727180976,66598807.08203125
260,6248037327296,145679032.1328125
261,6369034236576,63019891.59667969
262,6492032899906,112201568.96679688
263,6616817307996,55639169.66796875
264,6743671560628,155691542.03222656
265,6872260850838,55644828.267578125
266,7002966110928,114357845.43554688
267,7135516308250,38557238.419921875
268,7270246068170,140459812.9033203
269,7406842817420,84915256.33886719
270,7545569772620,112394028.921875
271,7686326150830,99197284.56445312
272,7829235986350,146273039.86621094
273,7974111535552,42620375.08984375
274,8121314475162,126487085.13476562
275,8270537321122,66787910.50488281
276,8422109912634,169587950.28515625
277,8575695433524,74123395.11621094
278,8731663913214,126301868.16308594
279,8889776093414,62568486.09375
280,9050358928854,185405960.04101562
281,9213024459504,82206184.59179688
282,9378162151074,117610106.75
283,9545571670124,66282204.90234375
284,9715531507276,181533069.80664062
285,9887657530686,53872245.556640625
286,10062434232016,142253570.55859375
287,10239530061466,89409578.49414062
288,10419258414946,182838039.30859375
289,10601337310338,114477590.171875
290,10786060893268,152212876.45507812
291,10973231968990,72405804.703125
292,11163186424710,184317235.61328125
293,11355551616592,88493359.00195312
294,11550708659392,139054696.77148438
295,11748442379402,93648415.89648438
296,11949046106162,218239409.390625
297,12152087169882,52607087.28125
298,12358145347684,148790987.58007812
299,12566861906614,120133157.24804688
300,12778508448486,210122365.18945312
301,12992806554336,112037925.203125
302,13210092291826,133456468.96875
303,13430193875876,73911947.02148438
304,13653436710676,229937009.703125
305,13879352327606,104000296.1640625
306,14108451793366,177913933.31835938
307,14340413458408,100581336.82421875
308,14575608467528,213507172.05078125
309,14813637438010,87474867.05664062
310,15054985092460,177178815.55664062
311,15299315265542,116230481.90234375
312,15546992528182,238781974.05273438
313,15797610636152,107973996.5390625
314,16051676219082,199624231.44921875
315,16308764361322,57807569.396484375
316,16569473139474,249393010.48828125
317,16833173434684,113855325.30273438
318,17100412099686,166441467.86328125
319,17370941101456,127312598.61132812
320,17645059060968,263083209.375
321,17922328597618,104164916.34375
322,18203304042628,172479233.04296875
323,18487669926718,119944611.30859375
324,18775807685478,295181182.25
325,19067173819590,121670347.23828125
326,19362441538440,239397758.875
327,19661072896122,76988693.94921875
328,19963721922922,254838906.42578125
329,20269788746772,139235450.421875
